"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2016 - Cuarto de primaria",,,,,,,
,,,,,,,
Código Geografico,REGION,PROVINCIA,DISTRITO,Cobertura IE,Cobertura Estudiantes,Medida Promedio en Comprensión Lectora,Medida Promedio en Matemática
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,"100,0","98,0",532,524
010103,AMAZONAS,CHACHAPOYAS,BALSAS,"100,0","79,2",-,-
010104,AMAZONAS,CHACHAPOYAS,CHETO,"100,0","100,0",533,525
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,"100,0","93,6",458,449
010107,AMAZONAS,CHACHAPOYAS,GRANADA,"100,0","100,0",553,520
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,"100,0","98,5",443,450
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,"100,0","100,0",507,528
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,"100,0","100,0",507,513
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,"100,0","100,0",453,465
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,"100,0","100,0",428,429
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,"100,0","100,0",486,458
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,"100,0","100,0",467,448
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,"100,0","83,3",421,358
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,"100,0","100,0",450,437
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,"100,0","100,0",406,398
010201,AMAZONAS,BAGUA,BAGUA,"100,0","96,9",473,459
010202,AMAZONAS,BAGUA,ARAMANGO,"100,0","96,7",445,453
010203,AMAZONAS,BAGUA,COPALLIN,"100,0","95,1",463,457
010204,AMAZONAS,BAGUA,EL PARCO,"100,0","100,0",386,389
010205,AMAZONAS,BAGUA,IMAZA,"92,3","86,7",387,370
010206,AMAZONAS,BAGUA,LA PECA,"100,0","95,9",465,510
010301,AMAZONAS,BONGARÁ,JUMBILLA,"100,0","100,0",473,442
010304,AMAZONAS,BONGARÁ,COROSHA,"100,0","94,7",420,360
010305,AMAZONAS,BONGARÁ,CUISPES,"100,0","100,0",406,399
010306,AMAZONAS,BONGARÁ,FLORIDA,"100,0","97,8",470,455
010307,AMAZONAS,BONGARÁ,JAZAN,"100,0","96,8",502,492
010310,AMAZONAS,BONGARÁ,SHIPASBAMBA,"100,0","100,0",437,430
010311,AMAZONAS,BONGARÁ,VALERA,"100,0","100,0",459,440
010312,AMAZONAS,BONGARÁ,YAMBRASBAMBA,"100,0","98,1",445,451
010401,AMAZONAS,CONDORCANQUI,NIEVA,"100,0","92,2",417,407
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,"100,0","89,7",349,335
010501,AMAZONAS,LUYA,LAMUD,"100,0","96,8",478,468
010502,AMAZONAS,LUYA,CAMPORREDONDO,"100,0","99,5",458,453
010503,AMAZONAS,LUYA,COCABAMBA,"100,0","91,4",418,428
010504,AMAZONAS,LUYA,COLCAMAR,"100,0","100,0",521,564
010505,AMAZONAS,LUYA,CONILA,"100,0","95,7",489,466
010507,AMAZONAS,LUYA,LONGUITA,"100,0","95,5",537,517
010508,AMAZONAS,LUYA,LONYA CHICO,"100,0","100,0",437,448
010509,AMAZONAS,LUYA,LUYA,"100,0","98,9",467,470
010510,AMAZONAS,LUYA,LUYA VIEJO,"100,0","100,0",527,558
010511,AMAZONAS,LUYA,MARIA,"100,0","93,3",498,468
010512,AMAZONAS,LUYA,OCALLI,"100,0","97,1",452,441
010513,AMAZONAS,LUYA,OCUMAL,"100,0","98,3",441,440
010514,AMAZONAS,LUYA,PISUQUIA,"100,0","98,2",471,470
010515,AMAZONAS,LUYA,PROVIDENCIA,"100,0","94,1",471,455
010516,AMAZONAS,LUYA,SAN CRISTOBAL,"100,0","100,0",532,554
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,"100,0","100,0",483,444
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,"100,0","100,0",476,479
010520,AMAZONAS,LUYA,SANTA CATALINA,"100,0","100,0",421,418
010521,AMAZONAS,LUYA,SANTO TOMAS,"100,0","98,5",446,452
010522,AMAZONAS,LUYA,TINGO,"100,0","92,3",534,517
010523,AMAZONAS,LUYA,TRITA,"100,0","100,0",439,445
010601,AMAZONAS,RODRÍGUEZ DE MENDOZA,SAN NICOLAS,"100,0","99,2",546,522
010602,AMAZONAS,RODRÍGUEZ DE MENDOZA,CHIRIMOTO,"100,0","100,0",451,431
010603,AMAZONAS,RODRÍGUEZ DE MENDOZA,COCHAMAL,"100,0","100,0",492,536
010604,AMAZONAS,RODRÍGUEZ DE MENDOZA,HUAMBO,"100,0","100,0",502,479
010605,AMAZONAS,RODRÍGUEZ DE MENDOZA,LIMABAMBA,"100,0","100,0",448,438
010606,AMAZONAS,RODRÍGUEZ DE MENDOZA,LONGAR,"100,0","96,0",514,483
010607,AMAZONAS,RODRÍGUEZ DE MENDOZA,MARISCAL BENAVIDES,"100,0","73,3",-,-
010609,AMAZONAS,RODRÍGUEZ DE MENDOZA,OMIA,"100,0","96,3",451,449
010610,AMAZONAS,RODRÍGUEZ DE MENDOZA,SANTA ROSA,"100,0","100,0",481,540
010612,AMAZONAS,RODRÍGUEZ DE MENDOZA,VISTA ALEGRE,"100,0","100,0",432,430
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,"100,0","95,7",469,474
010702,AMAZONAS,UTCUBAMBA,CAJARURO,"100,0","97,6",459,461
010703,AMAZONAS,UTCUBAMBA,CUMBA,"100,0","98,7",457,463
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,"100,0","97,5",410,401
010705,AMAZONAS,UTCUBAMBA,JAMALCA,"100,0","97,3",446,427
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,"100,0","98,0",486,486
010707,AMAZONAS,UTCUBAMBA,YAMON,"100,0","98,4",461,451
020101,ÁNCASH,HUARAZ,HUARAZ,"100,0","98,9",495,490
020102,ÁNCASH,HUARAZ,COCHABAMBA,"100,0","94,1",411,399
020104,ÁNCASH,HUARAZ,HUANCHAY,"100,0","88,5",431,429
020105,ÁNCASH,HUARAZ,INDEPENDENCIA,"100,0","98,8",499,487
020106,ÁNCASH,HUARAZ,JANGAS,"100,0","100,0",411,379
020107,ÁNCASH,HUARAZ,LA LIBERTAD,"100,0","100,0",423,391
020108,ÁNCASH,HUARAZ,OLLEROS,"100,0","100,0",374,376
020109,ÁNCASH,HUARAZ,PAMPAS GRANDE,"100,0","90,9",407,386
020110,ÁNCASH,HUARAZ,PARIACOTO,"100,0","100,0",390,387
020111,ÁNCASH,HUARAZ,PIRA,"100,0","95,6",354,341
020112,ÁNCASH,HUARAZ,TARICA,"100,0","100,0",443,439
020201,ÁNCASH,AIJA,AIJA,"100,0","100,0",446,446
020202,ÁNCASH,AIJA,CORIS,"100,0","93,3",371,354
020203,ÁNCASH,AIJA,HUACLLAN,"100,0","100,0",468,436
020204,ÁNCASH,AIJA,LA MERCED,"100,0","100,0",429,405
020205,ÁNCASH,AIJA,SUCCHA,"100,0","100,0",468,508
020301,ÁNCASH,ANTONIO RAIMONDI,LLAMELLIN,"100,0","96,8",420,418
020302,ÁNCASH,ANTONIO RAIMONDI,ACZO,"100,0","100,0",451,416
020303,ÁNCASH,ANTONIO RAIMONDI,CHACCHO,"100,0","100,0",408,383
020304,ÁNCASH,ANTONIO RAIMONDI,CHINGAS,"100,0","100,0",514,495
020305,ÁNCASH,ANTONIO RAIMONDI,MIRGAS,"100,0","100,0",368,399
020306,ÁNCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY,"100,0","100,0",340,336
020401,ÁNCASH,ASUNCIÓN,CHACAS,"100,0","97,2",465,457
020402,ÁNCASH,ASUNCIÓN,ACOCHACA,"100,0","100,0",416,415
020501,ÁNCASH,BOLOGNESI,CHIQUIAN,"100,0","98,8",512,508
020504,ÁNCASH,BOLOGNESI,AQUIA,"100,0","100,0",472,440
020505,ÁNCASH,BOLOGNESI,CAJACAY,"100,0","100,0",453,462
020507,ÁNCASH,BOLOGNESI,COLQUIOC,"100,0","93,5",487,492
020508,ÁNCASH,BOLOGNESI,HUALLANCA,"100,0","100,0",441,428
020509,ÁNCASH,BOLOGNESI,HUASTA,"100,0","100,0",454,480
020511,ÁNCASH,BOLOGNESI,LA PRIMAVERA,"100,0","100,0",362,328
020513,ÁNCASH,BOLOGNESI,PACLLON,"100,0","100,0",432,417
020514,ÁNCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,"100,0","100,0",417,388
020515,ÁNCASH,BOLOGNESI,TICLLOS,"100,0","100,0",483,481
020601,ÁNCASH,CARHUAZ,CARHUAZ,"100,0","99,7",461,447
020602,ÁNCASH,CARHUAZ,ACOPAMPA,"100,0","100,0",408,434
020603,ÁNCASH,CARHUAZ,AMASHCA,"100,0","93,3",399,350
020604,ÁNCASH,CARHUAZ,ANTA,"100,0","100,0",435,414
020605,ÁNCASH,CARHUAZ,ATAQUERO,"100,0","89,3",336,312
020606,ÁNCASH,CARHUAZ,MARCARA,"100,0","97,4",401,382
020607,ÁNCASH,CARHUAZ,PARIAHUANCA,"100,0","96,2",469,435
020608,ÁNCASH,CARHUAZ,SAN MIGUEL DE ACO,"100,0","100,0",412,423
