"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2024 - Cuarto de primaria",,,,,,,
,,,,,,,
Código Geografico,REGION,PROVINCIA,DISTRITO,Cobertura IE,Cobertura Estudiantes,Medida Promedio en Comprensión Lectora,Medida Promedio en Matemática
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,"100,0","97,5",520,520
010103,AMAZONAS,CHACHAPOYAS,BALSAS,"100,0","96,3",438,432
010104,AMAZONAS,CHACHAPOYAS,CHETO,"100,0","100,0",495,511
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,"100,0","100,0",473,463
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,"100,0","100,0",450,426
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,"100,0","91,4",493,482
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,"100,0","100,0",489,540
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,"100,0","93,8",490,499
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,"100,0","100,0",506,519
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,"100,0","100,0",541,559
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,"100,0","100,0",476,462
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,"100,0","90,9",493,489
010201,AMAZONAS,BAGUA,BAGUA,"100,0","96,9",489,474
010202,AMAZONAS,BAGUA,ARAMANGO,"100,0","99,2",463,453
010203,AMAZONAS,BAGUA,COPALLIN,"100,0","100,0",467,440
010204,AMAZONAS,BAGUA,EL PARCO,"100,0","100,0",433,418
010205,AMAZONAS,BAGUA,IMAZA,"100,0","90,6",433,390
010206,AMAZONAS,BAGUA,LA PECA,"100,0","95,5",466,454
010301,AMAZONAS,BONGARÁ,JUMBILLA,"100,0","100,0",511,509
010303,AMAZONAS,BONGARÁ,CHURUJA,"100,0","100,0",475,495
010304,AMAZONAS,BONGARÁ,COROSHA,"100,0","95,2",499,485
010305,AMAZONAS,BONGARÁ,CUISPES,"100,0","100,0",484,415
010306,AMAZONAS,BONGARÁ,FLORIDA,"100,0","100,0",493,505
010307,AMAZONAS,BONGARÁ,JAZAN,"100,0","98,2",493,503
010310,AMAZONAS,BONGARÁ,SHIPASBAMBA,"100,0","100,0",495,540
010312,AMAZONAS,BONGARÁ,YAMBRASBAMBA,"100,0","99,1",491,520
010401,AMAZONAS,CONDORCANQUI,NIEVA,"100,0","91,8",439,411
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,"100,0","90,9",352,268
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,"100,0","93,4",355,302
010501,AMAZONAS,LUYA,LAMUD,"100,0","100,0",514,523
