Departamento,Actividad_Economica,Año,VAB_precios_constantes_2007_miles_soles
Pasco,Administración Pública y Defensa,2016,208774.0
Pasco,"Electricidad, Gas y Agua",2016,62777.0
Pasco,Telecom. y Otros Serv. de Información,2016,57884.0
Pasco,Administración Pública y Defensa,2018,223997.0
Pasco,"Electricidad, Gas y Agua",2018,72273.0
Pasco,Telecom. y Otros Serv. de Información,2018,63844.0
Piura,Administración Pública y Defensa,2016,1142032.0
Piura,"Electricidad, Gas y Agua",2016,317449.0
Piura,Telecom. y Otros Serv. de Información,2016,638874.0
Piura,Administración Pública y Defensa,2018,1207441.0
Piura,"Electricidad, Gas y Agua",2018,361714.0
Piura,Telecom. y Otros Serv. de Información,2018,736917.0
Puno,Administración Pública y Defensa,2016,707560.0
Puno,"Electricidad, Gas y Agua",2016,128293.0
Puno,Telecom. y Otros Serv. de Información,2016,329231.0
Puno,Administración Pública y Defensa,2018,756453.0
Puno,"Electricidad, Gas y Agua",2018,148465.0
Puno,Telecom. y Otros Serv. de Información,2018,383408.0
San Martín,Administración Pública y Defensa,2016,502375.0
San Martín,"Electricidad, Gas y Agua",2016,44911.0
San Martín,Telecom. y Otros Serv. de Información,2016,188289.0
San Martín,Administración Pública y Defensa,2018,554199.0
San Martín,"Electricidad, Gas y Agua",2018,38345.0
San Martín,Telecom. y Otros Serv. de Información,2018,214069.0
Tacna,Administración Pública y Defensa,2016,303029.0
Tacna,"Electricidad, Gas y Agua",2016,68463.0
Tacna,Telecom. y Otros Serv. de Información,2016,215896.0
Tacna,Administración Pública y Defensa,2018,318701.0
Tacna,"Electricidad, Gas y Agua",2018,73636.0
Tacna,Telecom. y Otros Serv. de Información,2018,259710.0
Tumbes,Administración Pública y Defensa,2016,189829.0
Tumbes,"Electricidad, Gas y Agua",2016,19168.0
Tumbes,Telecom. y Otros Serv. de Información,2016,118389.0
Tumbes,Administración Pública y Defensa,2018,205191.0
Tumbes,"Electricidad, Gas y Agua",2018,20226.0
Tumbes,Telecom. y Otros Serv. de Información,2018,132146.0
Ucayali,Administración Pública y Defensa,2016,320362.0
Ucayali,"Electricidad, Gas y Agua",2016,54901.0
Ucayali,Telecom. y Otros Serv. de Información,2016,183773.0
Ucayali,Administración Pública y Defensa,2018,350333.0
Ucayali,"Electricidad, Gas y Agua",2018,57624.0
Ucayali,Telecom. y Otros Serv. de Información,2018,214407.0
Áncash,Administración Pública y Defensa,2016,851789.0
Áncash,"Electricidad, Gas y Agua",2016,426444.0
Áncash,Telecom. y Otros Serv. de Información,2016,474820.0
Áncash,Administración Pública y Defensa,2018,942826.0
Áncash,"Electricidad, Gas y Agua",2018,427851.0
Áncash,Telecom. y Otros Serv. de Información,2018,579076.0
