PROVINCIA,LECT_EN INICIO_2016,LECT_EN PROCESO_2016,MAT_EN INICIO_2016,MAT_EN PROCESO_2016,MEDIDA PROMEDIO MATEMATICA_2016,LECT_EN INICIO_2018,LECT_EN PROCESO_2018,MAT_EN INICIO_2018,MAT_EN PROCESO_2018,MEDIDA PROMEDIO MATEMATICA_2018,CUARTIL_2024,REGION_ANCASH,REGION_APURIMAC,REGION_AREQUIPA,REGION_AYACUCHO,REGION_CAJAMARCA,REGION_CUSCO,REGION_HUANCAVELICA,REGION_HUANUCO,REGION_ICA,REGION_JUNIN,REGION_LA LIBERTAD,REGION_LAMBAYEQUE,REGION_LIMA,REGION_LORETO,REGION_MADRE DE DIOS,REGION_MOQUEGUA,REGION_PASCO,REGION_PIURA,REGION_PUNO,REGION_SAN MARTIN,REGION_TACNA,REGION_TUMBES,REGION_UCAYALI
RECUAY,37.58888888888889,26.78888888888889,27.72222222222222,39.62222222222223,449.6666666666667,23.22222222222222,37.95555555555556,29.166666666666668,39.44444444444444,453.44444444444446,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SANTA,27.322222222222223,35.28888888888889,25.766666666666666,43.21111111111111,450.3333333333333,30.84444444444445,31.04444444444444,24.922222222222224,40.87777777777777,453.6666666666667,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SIHUAS,46.0,19.95555555555556,38.67777777777778,24.82222222222222,388.22222222222223,34.74444444444444,21.677777777777777,29.744444444444444,34.68888888888889,416.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
YUNGAY,34.475,24.3875,29.1125,25.8,398.375,26.6875,21.3125,28.5875,29.8,417.25,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ABANCAY,35.7,29.1875,27.3,33.8625,425.0,34.666666666666664,26.788888888888888,22.366666666666667,40.333333333333336,459.77777777777777,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANDAHUAYLAS,38.22777777777778,20.37222222222222,31.42777777777778,28.422222222222224,399.6111111111111,31.6,23.721052631578942,26.157894736842103,31.121052631578944,425.10526315789474,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTABAMBA,35.74285714285714,27.32857142857143,28.414285714285715,44.457142857142856,444.2857142857143,38.01428571428572,35.357142857142854,17.3,51.07142857142857,469.7142857142857,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AYMARAES,31.29375,28.35,25.71875,38.78125,430.5,32.653333333333336,27.3,29.56,41.373333333333335,448.4,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHINCHEROS,38.6625,19.4875,29.5375,26.2625,411.0,39.01111111111111,24.72222222222222,26.22222222222222,43.0,443.1111111111111,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COTABAMBAS,47.11666666666667,26.5,29.416666666666668,39.21666666666667,419.3333333333333,33.11666666666667,21.7,26.73333333333333,37.18333333333333,441.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
