PROVINCIA,LECT_EN INICIO_2016,LECT_EN PROCESO_2016,LECT_PREVIO AL INICIO_2016,LECT_SATISFACTORIO_2016,MAT_EN INICIO_2016,MAT_EN PROCESO_2016,MAT_PREVIO AL INICIO_2016,MAT_SATISFACTORIO_2016,MEDIDA PROMEDIO COMPRENSION LECTORA_2016,MEDIDA PROMEDIO MATEMATICA_2016,LECT_EN INICIO_2018,LECT_EN PROCESO_2018,LECT_PREVIO AL INICIO_2018,LECT_SATISFACTORIO_2018,MAT_EN INICIO_2018,MAT_EN PROCESO_2018,MAT_PREVIO AL INICIO_2018,MAT_SATISFACTORIO_2018,MEDIDA PROMEDIO COMPRENSION LECTORA_2018,MEDIDA PROMEDIO MATEMATICA_2018,VAB_Administración_Pública_y_Defensa_2016,VAB_Administración_Pública_y_Defensa_2018,VAB_Electricidad_Gas_y_Agua_2016,VAB_Electricidad_Gas_y_Agua_2018,VAB_Telecom_y_Otros_Serv_de_Información_2016,VAB_Telecom_y_Otros_Serv_de_Información_2018,CUARTIL_2024,REGION_ANCASH,REGION_APURIMAC,REGION_AREQUIPA,REGION_AYACUCHO,REGION_CAJAMARCA,REGION_CUSCO,REGION_HUANCAVELICA,REGION_HUANUCO,REGION_ICA,REGION_JUNIN,REGION_LA LIBERTAD,REGION_LAMBAYEQUE,REGION_LIMA,REGION_LORETO,REGION_MADRE DE DIOS,REGION_MOQUEGUA,REGION_PASCO,REGION_PIURA,REGION_PUNO,REGION_SAN MARTIN,REGION_TACNA,REGION_TUMBES,REGION_UCAYALI
CARHUAZ,37.71818181818182,27.745454545454542,25.272727272727277,9.28181818181818,32.9,31.09090909090909,27.518181818181816,8.5,414.8181818181818,407.0,33.309090909090905,25.20909090909091,22.536363636363635,18.945454545454545,26.363636363636363,44.16363636363636,13.818181818181818,15.627272727272729,435.45454545454544,446.6363636363636,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CARLOS FERMÍN FITZCARRAL,39.46666666666667,19.166666666666668,33.13333333333333,8.233333333333333,25.266666666666666,28.766666666666666,34.800000000000004,11.2,399.0,403.3333333333333,34.733333333333334,24.03333333333333,28.933333333333334,12.3,25.133333333333336,36.46666666666667,26.8,11.6,412.0,417.0,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CASMA,36.4,31.8,13.45,18.4,26.45,36.4,21.275,15.85,447.25,433.0,36.6,27.875,15.4,20.175,23.775,46.175,12.075,18.0,446.5,455.0,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CORONGO,28.24,25.9,34.36,11.52,29.5,25.520000000000003,31.660000000000004,13.34,415.8,403.0,28.7,21.25714285714286,20.47142857142857,29.542857142857144,19.557142857142857,30.842857142857135,30.385714285714283,19.214285714285715,457.7142857142857,427.0,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HUARAZ,33.809090909090905,23.545454545454547,27.063636363636363,15.6,29.50909090909091,27.29090909090909,30.71818181818181,12.5,421.6363636363636,409.45454545454544,29.536363636363635,25.045454545454547,26.227272727272727,19.21818181818182,27.681818181818183,29.172727272727272,27.681818181818183,15.47272727272727,428.7272727272728,421.0,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HUARI,36.29375,31.59375,21.36875,10.75625,27.09375,32.44375,24.53125,15.9625,426.1875,427.8125,34.31428571428571,25.664285714285715,21.90714285714285,18.12857142857143,26.97142857142857,33.32142857142857,20.092857142857145,19.62857142857143,436.7142857142857,439.1428571428572,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HUARMEY,37.1,32.4,14.975,15.525,34.25,28.275,26.0,11.475,442.5,415.0,27.875,38.975,9.2,24.0,20.2,43.975,8.025,27.825,467.5,479.75,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HUAYLAS,41.14,17.48,32.89,8.48,31.6,29.1,31.46,7.83,401.8,399.3,36.19,18.73,33.43,11.65,35.32,27.96,27.59,9.12,406.7,405.2,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MARISCAL LUZURIAGA,36.86,9.84,53.32000000000001,0.0,34.4,16.9,48.06,0.64,357.2,359.4,33.63333333333333,11.65,49.55,5.166666666666667,30.566666666666663,21.83333333333333,42.71666666666667,4.866666666666666,371.6666666666667,373.1666666666667,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OCROS,35.9,33.166666666666664,17.150000000000002,13.833333333333334,37.6,39.266666666666666,14.733333333333333,8.416666666666666,436.8333333333333,424.6666666666667,34.85,34.7,14.9,15.550000000000002,17.033333333333335,53.0,18.966666666666665,10.983333333333334,442.0,438.3333333333333,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
